Algorithm,Allocation,Processes,Latency
default,core,2,0.24
default,core,4,0.70
default,core,6,1.05
default,core,8,0.93
default,core,10,1.59
default,core,12,2.22
default,core,14,2.60
default,core,16,2.08
default,core,18,3.50
default,core,20,3.83
default,core,22,3.47
default,core,24,3.95
default,core,26,4.70
default,core,28,4.88
default,core,30,5.09
default,core,32,3.64
default,core,34,4.40
default,core,36,4.80
default,core,38,5.26
default,core,40,5.13
default,core,42,5.42
default,core,44,5.42
default,core,46,5.55
default,core,48,5.99
default,socket,2,0.58
default,socket,4,1.54
default,socket,6,1.74
default,socket,8,1.99
default,socket,10,2.09
default,socket,12,2.41
default,socket,14,2.78
default,socket,16,2.34
default,socket,18,2.91
default,socket,20,2.69
default,socket,22,3.01
default,socket,24,2.81
default,socket,26,5.06
default,socket,28,5.45
default,socket,30,5.41
default,socket,32,4.58
default,socket,34,4.80
default,socket,36,5.20
default,socket,38,5.32
default,socket,40,5.26
default,socket,42,5.36
default,socket,44,5.30
default,socket,46,5.64
default,socket,48,5.52
default,node,2,1.06
default,node,4,3.02
default,node,6,3.17
default,node,8,2.91
default,node,10,3.26
default,node,12,3.90
default,node,14,3.85
default,node,16,3.46
default,node,18,3.81
default,node,20,3.78
default,node,22,4.22
default,node,24,4.24
default,node,26,4.68
default,node,28,4.50
default,node,30,4.62
default,node,32,4.04
default,node,34,4.34
default,node,36,4.35
default,node,38,4.27
default,node,40,4.11
default,node,42,4.40
default,node,44,4.00
default,node,46,4.23
default,node,48,4.10
