Algorithm,Allocation,Processes,Latency
Default,core,2,0.29
Default,core,4,0.70
Default,core,6,0.93
Default,core,8,0.93
Default,core,10,1.44
Default,core,12,1.60
Default,core,14,3.30
Default,core,16,2.21
Default,core,18,4.26
Default,core,20,3.18
Default,core,22,3.40
Default,core,24,3.49
Default,core,26,4.30
Default,core,28,4.57
Default,core,30,5.14
Default,core,32,3.54
Default,core,34,4.40
Default,core,36,4.74
Default,core,38,5.30
Default,core,40,5.07
Default,core,42,5.35
Default,core,44,5.26
Default,core,46,5.57
Default,core,48,5.76
Default,socket,2,0.46
Default,socket,4,1.26
Default,socket,6,1.58
Default,socket,8,1.86
Default,socket,10,3.14
Default,socket,12,3.14
Default,socket,14,2.78
Default,socket,16,2.31
Default,socket,18,3.30
Default,socket,20,3.25
Default,socket,22,3.67
Default,socket,24,2.76
Default,socket,26,4.79
Default,socket,28,5.30
Default,socket,30,5.24
Default,socket,32,4.14
Default,socket,34,5.59
Default,socket,36,5.14
Default,socket,38,5.61
Default,socket,40,5.19
Default,socket,42,5.60
Default,socket,44,5.31
Default,socket,46,5.67
Default,socket,48,5.56
Default,node,2,1.06
Default,node,4,2.81
Default,node,6,2.88
Default,node,8,3.06
Default,node,10,3.40
Default,node,12,3.88
Default,node,14,4.15
Default,node,16,3.25
Default,node,18,3.97
Default,node,20,3.86
Default,node,22,4.40
Default,node,24,4.22
Default,node,26,4.50
Default,node,28,5.03
Default,node,30,4.70
Default,node,32,4.18
Default,node,34,4.23
Default,node,36,4.22
Default,node,38,4.46
Default,node,40,4.27
Default,node,42,4.10
Default,node,44,4.30
Default,node,46,3.88
Default,node,48,3.82
